CKJNFLKG_00001 ko:K00041
CKJNFLKG_01053 ko:K00537
CKJNFLKG_01054 -
CKJNFLKG_01056 -
CKJNFLKG_01057 -
CKJNFLKG_01058 ko:K00788
CKJNFLKG_01060 ko:K00941
CKJNFLKG_01061 -
CKJNFLKG_01062 -
CKJNFLKG_01063 ko:K07089
CKJNFLKG_01066 -
CKJNFLKG_01073 -
CKJNFLKG_01083 -
CKJNFLKG_01086 ko:K01104
CKJNFLKG_01087 -
CKJNFLKG_01090 ko:K03292
CKJNFLKG_01091 ko:K01420
CKJNFLKG_01092 ko:K03671
CKJNFLKG_01093 ko:K00384
CKJNFLKG_01095 ko:K02108
CKJNFLKG_01096 ko:K02110
CKJNFLKG_01097 ko:K02109
CKJNFLKG_01098 ko:K02113
CKJNFLKG_01099 ko:K02111
CKJNFLKG_01100 ko:K02115
CKJNFLKG_01101 ko:K02112
CKJNFLKG_01102 ko:K02114
CKJNFLKG_01105 -
CKJNFLKG_01111 -
CKJNFLKG_01120 -
CKJNFLKG_01128 ko:K10112
CKJNFLKG_01150 -
CKJNFLKG_01152 -
CKJNFLKG_01153 -
CKJNFLKG_01155 -
CKJNFLKG_01156 -
CKJNFLKG_01157 -
CKJNFLKG_01158 -
CKJNFLKG_01159 -
CKJNFLKG_01160 -
CKJNFLKG_01161 -
CKJNFLKG_01162 -
CKJNFLKG_01163 -
CKJNFLKG_01164 ko:K01653
CKJNFLKG_01165 ko:K00053
CKJNFLKG_01166 -
CKJNFLKG_01167 ko:K01703
CKJNFLKG_01168 ko:K01704
CKJNFLKG_01180 ko:K01649
CKJNFLKG_01183 ko:K01449
CKJNFLKG_01184 ko:K01733
CKJNFLKG_01186 -
CKJNFLKG_01187 ko:K01785
CKJNFLKG_01189 ko:K06381
CKJNFLKG_01190 ko:K07058
CKJNFLKG_01191 ko:K01889
CKJNFLKG_01192 ko:K01890
CKJNFLKG_01193 -
CKJNFLKG_01194 ko:K07568
CKJNFLKG_01200 -
CKJNFLKG_01215 -
CKJNFLKG_01234 -
CKJNFLKG_01258 -
CKJNFLKG_01259 -
CKJNFLKG_01260 -
CKJNFLKG_01262 -
CKJNFLKG_01263 -
CKJNFLKG_01264 -
CKJNFLKG_01321 -
CKJNFLKG_01325 -
CKJNFLKG_01326 -
CKJNFLKG_01327 -
CKJNFLKG_01328 -
CKJNFLKG_01329 -
CKJNFLKG_01331 -
CKJNFLKG_01332 -
CKJNFLKG_01333 -
CKJNFLKG_01339 -
CKJNFLKG_01340 ko:K03518
CKJNFLKG_01343 -
CKJNFLKG_01344 -
CKJNFLKG_01345 ko:K00800
CKJNFLKG_01346 ko:K04517
CKJNFLKG_01347 ko:K02355
CKJNFLKG_01348 -
CKJNFLKG_01349 ko:K01869
CKJNFLKG_01360 -
CKJNFLKG_01361 -
CKJNFLKG_01362 -
CKJNFLKG_01363 ko:K09777
CKJNFLKG_01364 ko:K00942
CKJNFLKG_01365 ko:K03060
CKJNFLKG_01366 ko:K14441
CKJNFLKG_01367 ko:K00995
CKJNFLKG_01368 -
CKJNFLKG_01369 -
CKJNFLKG_01370 -
CKJNFLKG_01372 -
CKJNFLKG_01373 -
CKJNFLKG_01374 ko:K17734
CKJNFLKG_01375 -
CKJNFLKG_01376 -
CKJNFLKG_01377 ko:K00031
CKJNFLKG_01378 -
CKJNFLKG_01379 ko:K01990
CKJNFLKG_01380 ko:K01992
CKJNFLKG_01381 ko:K06158
CKJNFLKG_01382 ko:K01926
CKJNFLKG_01383 ko:K17758,ko:K17759
CKJNFLKG_01384 ko:K01775
CKJNFLKG_01385 ko:K07171
CKJNFLKG_01389 ko:K03699
CKJNFLKG_01390 -
CKJNFLKG_01391 -
CKJNFLKG_01392 ko:K06153
CKJNFLKG_01393 ko:K03466
CKJNFLKG_01394 -
CKJNFLKG_01395 ko:K00528
CKJNFLKG_01396 ko:K00266
CKJNFLKG_01397 -
CKJNFLKG_01398 ko:K00783
CKJNFLKG_01403 -
CKJNFLKG_01405 -
CKJNFLKG_01407 -
CKJNFLKG_01409 -
CKJNFLKG_01410 -
CKJNFLKG_01413 -
CKJNFLKG_01415 -
CKJNFLKG_01416 ko:K07003
CKJNFLKG_01417 ko:K01421
CKJNFLKG_01421 -
CKJNFLKG_01422 ko:K06438
CKJNFLKG_01423 -
CKJNFLKG_01424 ko:K07407
CKJNFLKG_01425 ko:K02529
CKJNFLKG_01429 ko:K18785
CKJNFLKG_01434 ko:K01835
CKJNFLKG_01447 -
CKJNFLKG_01473 ko:K06217
CKJNFLKG_01474 ko:K07042
CKJNFLKG_01475 -
CKJNFLKG_01476 -
CKJNFLKG_01477 ko:K00931
CKJNFLKG_01478 -
CKJNFLKG_01479 -
CKJNFLKG_01480 ko:K03555
CKJNFLKG_01481 ko:K03572
CKJNFLKG_01482 ko:K00791
CKJNFLKG_01483 -
CKJNFLKG_01484 ko:K07007
CKJNFLKG_01485 ko:K07137
CKJNFLKG_01486 ko:K03630
CKJNFLKG_01487 ko:K03569
CKJNFLKG_01488 ko:K03570
CKJNFLKG_01489 ko:K03571
CKJNFLKG_01490 ko:K05515
CKJNFLKG_01491 ko:K03609
CKJNFLKG_01492 ko:K03608
CKJNFLKG_01493 ko:K05837
CKJNFLKG_01494 ko:K01734
CKJNFLKG_01495 -
CKJNFLKG_01496 -
CKJNFLKG_01497 ko:K09779
CKJNFLKG_01498 -
CKJNFLKG_01499 ko:K06997
CKJNFLKG_01500 -
CKJNFLKG_01501 -
CKJNFLKG_01502 ko:K01735
CKJNFLKG_01503 ko:K03101
CKJNFLKG_01504 ko:K06180
CKJNFLKG_01505 -
CKJNFLKG_01508 -
CKJNFLKG_01509 -
CKJNFLKG_01510 ko:K07560
CKJNFLKG_01511 -
CKJNFLKG_01514 -
CKJNFLKG_01515 -
CKJNFLKG_01516 ko:K02003
CKJNFLKG_01517 ko:K02004
CKJNFLKG_01521 -
CKJNFLKG_01528 -
CKJNFLKG_01529 ko:K02003
CKJNFLKG_01530 -
CKJNFLKG_01532 -
CKJNFLKG_01536 -
CKJNFLKG_01537 -
CKJNFLKG_01538 ko:K02004
CKJNFLKG_01540 -
CKJNFLKG_01541 -
CKJNFLKG_01542 -
CKJNFLKG_01543 -
CKJNFLKG_01544 -
CKJNFLKG_01546 ko:K03701
CKJNFLKG_01549 -
CKJNFLKG_01550 ko:K07258
CKJNFLKG_01551 ko:K18350
CKJNFLKG_01552 ko:K18349
CKJNFLKG_01555 -
CKJNFLKG_01557 ko:K01990
CKJNFLKG_01558 -
CKJNFLKG_01559 -
CKJNFLKG_01560 -
CKJNFLKG_01561 -
CKJNFLKG_01562 -
CKJNFLKG_01564 ko:K02529
CKJNFLKG_01566 -
CKJNFLKG_01567 ko:K01356
CKJNFLKG_01568 ko:K09710
CKJNFLKG_01569 -
CKJNFLKG_01570 ko:K00969
CKJNFLKG_01571 ko:K07574
CKJNFLKG_01572 ko:K03979
CKJNFLKG_01573 ko:K02899
CKJNFLKG_01574 ko:K07584
CKJNFLKG_01575 ko:K02888
CKJNFLKG_01576 ko:K07052
CKJNFLKG_01577 ko:K03574
CKJNFLKG_01578 ko:K08301
CKJNFLKG_01579 -
CKJNFLKG_01580 -
CKJNFLKG_01584 -
CKJNFLKG_01595 -
CKJNFLKG_01596 -
CKJNFLKG_01597 -
CKJNFLKG_01602 -
CKJNFLKG_01605 ko:K03701
CKJNFLKG_01607 -
CKJNFLKG_01609 -
CKJNFLKG_01611 -
CKJNFLKG_01612 -
CKJNFLKG_01613 -
CKJNFLKG_01614 -
CKJNFLKG_01621 -
CKJNFLKG_01624 -
CKJNFLKG_01626 -
CKJNFLKG_01628 -
CKJNFLKG_01634 -
CKJNFLKG_01635 -
CKJNFLKG_01636 -
CKJNFLKG_01637 -
CKJNFLKG_01639 ko:K02004
CKJNFLKG_01640 ko:K02003
CKJNFLKG_01642 -
CKJNFLKG_01643 -
CKJNFLKG_01644 -
CKJNFLKG_01645 ko:K12574
CKJNFLKG_01646 ko:K03700
CKJNFLKG_01647 ko:K03100
CKJNFLKG_01648 ko:K06179
CKJNFLKG_01649 -
CKJNFLKG_01650 ko:K07124
CKJNFLKG_01651 -
CKJNFLKG_01652 -
CKJNFLKG_01653 ko:K06183
CKJNFLKG_01654 -
CKJNFLKG_01655 ko:K07816
CKJNFLKG_01656 ko:K21472
CKJNFLKG_01657 ko:K01270
CKJNFLKG_01659 -
CKJNFLKG_01660 -
CKJNFLKG_01661 ko:K00954
CKJNFLKG_01662 ko:K08316
CKJNFLKG_01663 ko:K01734
CKJNFLKG_01664 -
CKJNFLKG_01665 -
CKJNFLKG_01666 ko:K02004
CKJNFLKG_01667 ko:K03655
CKJNFLKG_01668 ko:K07030
CKJNFLKG_01669 -
CKJNFLKG_01670 ko:K02902
CKJNFLKG_01671 -
CKJNFLKG_01672 -
CKJNFLKG_01673 -
CKJNFLKG_01674 -
CKJNFLKG_01675 -
CKJNFLKG_01676 ko:K05364
CKJNFLKG_01677 -
CKJNFLKG_01678 ko:K08303
CKJNFLKG_01679 ko:K09888
CKJNFLKG_01680 ko:K03551
CKJNFLKG_01681 ko:K03550
CKJNFLKG_01682 ko:K00805
CKJNFLKG_01683 -
CKJNFLKG_01684 ko:K03734
CKJNFLKG_01685 ko:K03616
CKJNFLKG_01686 ko:K03617
CKJNFLKG_01687 ko:K03613
CKJNFLKG_01688 ko:K03612
CKJNFLKG_01689 ko:K03614
CKJNFLKG_01690 -
CKJNFLKG_01691 -
CKJNFLKG_01692 ko:K07502
CKJNFLKG_01694 ko:K02945
CKJNFLKG_01695 ko:K03527
CKJNFLKG_01696 ko:K00945
CKJNFLKG_01697 ko:K07007
CKJNFLKG_01698 -
CKJNFLKG_01699 ko:K01571
CKJNFLKG_01700 ko:K01572
CKJNFLKG_01701 -
CKJNFLKG_01702 -
CKJNFLKG_01703 -
CKJNFLKG_01704 -
CKJNFLKG_01705 -
CKJNFLKG_01706 -
CKJNFLKG_01707 -
CKJNFLKG_01708 -
CKJNFLKG_01709 -
CKJNFLKG_01711 -
CKJNFLKG_01712 ko:K01866
CKJNFLKG_01713 -
CKJNFLKG_01714 ko:K00196
CKJNFLKG_01715 ko:K00198
CKJNFLKG_01716 ko:K03310
CKJNFLKG_01717 -
CKJNFLKG_01718 -
CKJNFLKG_01719 -
CKJNFLKG_01720 -
CKJNFLKG_01722 -
CKJNFLKG_01723 -
CKJNFLKG_01724 -
CKJNFLKG_01725 -
