locus_tag	ftype	length_bp	gene	EC_number	COG	product
CKJNFLKG_00169	CDS	1050	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
CKJNFLKG_00170	CDS	402				hypothetical protein
CKJNFLKG_00171	CDS	276				hypothetical protein
CKJNFLKG_00172	CDS	1338				hypothetical protein
CKJNFLKG_00173	CDS	987	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
CKJNFLKG_00174	CDS	867				hypothetical protein
CKJNFLKG_00175	CDS	747				hypothetical protein
CKJNFLKG_00176	CDS	210				hypothetical protein
CKJNFLKG_00177	CDS	399				hypothetical protein
CKJNFLKG_00178	CDS	1416	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
CKJNFLKG_00179	CDS	501				hypothetical protein
CKJNFLKG_00180	CDS	756	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
CKJNFLKG_00181	CDS	126				hypothetical protein
CKJNFLKG_00182	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
CKJNFLKG_00183	CDS	1146	csd	2.8.1.7		putative cysteine desulfurase
CKJNFLKG_00184	CDS	1194				hypothetical protein
CKJNFLKG_00185	CDS	1314	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
CKJNFLKG_00186	CDS	195				hypothetical protein
CKJNFLKG_00187	CDS	444				hypothetical protein
CKJNFLKG_00188	CDS	147				hypothetical protein
CKJNFLKG_00189	CDS	522				hypothetical protein
CKJNFLKG_00190	CDS	573	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
CKJNFLKG_00191	CDS	249				hypothetical protein
CKJNFLKG_00192	CDS	375				hypothetical protein
CKJNFLKG_00193	CDS	843				Iron-sulfur cluster carrier protein
CKJNFLKG_00194	CDS	228				hypothetical protein
CKJNFLKG_00195	CDS	2355	dinG	3.1.-.-		3'-5' exonuclease DinG
CKJNFLKG_00196	CDS	174				hypothetical protein
CKJNFLKG_00197	CDS	372	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
CKJNFLKG_00198	CDS	780	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
CKJNFLKG_00199	CDS	1719	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
CKJNFLKG_00200	CDS	948	nikB		COG0601	Nickel transport system permease protein NikB
CKJNFLKG_00201	CDS	852	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
CKJNFLKG_00202	CDS	1587	nikA		COG0747	Nickel-binding protein NikA
CKJNFLKG_00203	CDS	786	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
CKJNFLKG_00204	CDS	756	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
CKJNFLKG_00205	CDS	879	cmpR_1			HTH-type transcriptional activator CmpR
CKJNFLKG_00206	CDS	1227				hypothetical protein
CKJNFLKG_00207	CDS	3768	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
CKJNFLKG_00208	CDS	1203				hypothetical protein
CKJNFLKG_00209	CDS	1125	cdaR_2		COG3835	Carbohydrate diacid regulator
CKJNFLKG_00210	CDS	108				hypothetical protein
CKJNFLKG_00211	CDS	1071				hypothetical protein
CKJNFLKG_00212	CDS	492				hypothetical protein
CKJNFLKG_00213	CDS	1299	siaT		COG1593	Sialic acid TRAP transporter permease protein SiaT
CKJNFLKG_00214	CDS	237	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
CKJNFLKG_00215	CDS	1182				hypothetical protein
CKJNFLKG_00216	CDS	1314				hypothetical protein
CKJNFLKG_00217	CDS	1764				hypothetical protein
CKJNFLKG_00218	CDS	1566	rssB_1			Regulator of RpoS
CKJNFLKG_00219	tRNA	75				tRNA-Val(tac)
CKJNFLKG_00220	tRNA	75				tRNA-Met(cat)
CKJNFLKG_00221	tRNA	75				tRNA-Val(tac)
CKJNFLKG_00222	tRNA	75				tRNA-Met(cat)
CKJNFLKG_00223	CDS	1680				hypothetical protein
CKJNFLKG_00224	CDS	993	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
CKJNFLKG_00225	CDS	867	dppC_1		COG1173	Dipeptide transport system permease protein DppC
CKJNFLKG_00226	CDS	945	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
CKJNFLKG_00227	CDS	663	nikE	7.2.2.11	COG4608	Nickel import system ATP-binding protein NikE
CKJNFLKG_00228	CDS	576				hypothetical protein
CKJNFLKG_00229	CDS	285	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
CKJNFLKG_00230	CDS	402				hypothetical protein
CKJNFLKG_00231	CDS	759	xynR_1		COG1414	HTH-type transcriptional regulator XynR
CKJNFLKG_00232	CDS	1173				hypothetical protein
CKJNFLKG_00233	CDS	1248	yihN			Inner membrane protein YihN
CKJNFLKG_00234	CDS	204	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
CKJNFLKG_00235	CDS	1053	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
CKJNFLKG_00236	CDS	738	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
CKJNFLKG_00237	CDS	540	porC_1	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
CKJNFLKG_00238	CDS	2121	FCS1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
CKJNFLKG_00239	CDS	1614	betL_1		COG1292	Glycine betaine transporter BetL
CKJNFLKG_00240	CDS	1311				hypothetical protein
CKJNFLKG_00241	CDS	696				IS1595 family transposase ISBth19
CKJNFLKG_00242	CDS	276				hypothetical protein
CKJNFLKG_00243	CDS	840				hypothetical protein
CKJNFLKG_00244	CDS	624				hypothetical protein
CKJNFLKG_00245	CDS	444				hypothetical protein
CKJNFLKG_00246	CDS	771	aphA	2.7.1.95		Aminoglycoside 3'-phosphotransferase
CKJNFLKG_00247	CDS	558				hypothetical protein
CKJNFLKG_00248	CDS	1008				hypothetical protein
CKJNFLKG_00249	CDS	1011	yxeB		COG0614	Iron(3+)-hydroxamate-binding protein YxeB
CKJNFLKG_00250	CDS	1008	feuB		COG0609	Iron-uptake system permease protein FeuB
CKJNFLKG_00251	CDS	1005	yfhA		COG0609	putative siderophore transport system permease protein YfhA
CKJNFLKG_00252	CDS	795	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
CKJNFLKG_00253	CDS	1275				IS110 family transposase ISGka2
CKJNFLKG_00254	CDS	1506	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
CKJNFLKG_00255	CDS	657				hypothetical protein
CKJNFLKG_00256	CDS	468				hypothetical protein
CKJNFLKG_00257	CDS	372				hypothetical protein
CKJNFLKG_00258	CDS	885				hypothetical protein
CKJNFLKG_00259	CDS	597				hypothetical protein
CKJNFLKG_00260	CDS	975				hypothetical protein
CKJNFLKG_00261	CDS	681				putative protein
CKJNFLKG_00262	CDS	1023				hypothetical protein
CKJNFLKG_00263	CDS	1107	araR		COG1609	Arabinose metabolism transcriptional repressor
CKJNFLKG_00264	CDS	1671	araB	2.7.1.16	COG1069	Ribulokinase
CKJNFLKG_00265	CDS	690	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase
CKJNFLKG_00266	CDS	1608	xylB_1	2.7.1.17		Xylulose kinase
CKJNFLKG_00267	CDS	474				hypothetical protein
CKJNFLKG_00268	CDS	801	rbn	3.1.26.11		Ribonuclease BN
CKJNFLKG_00269	CDS	840				hypothetical protein
CKJNFLKG_00270	CDS	288				hypothetical protein
CKJNFLKG_00271	CDS	342				hypothetical protein
CKJNFLKG_00272	CDS	777	zupT		COG0428	Zinc transporter ZupT
CKJNFLKG_00273	CDS	1029				hypothetical protein
CKJNFLKG_00274	CDS	264	csoR_2		COG1937	Copper-sensing transcriptional repressor CsoR
CKJNFLKG_00275	CDS	2601	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
CKJNFLKG_00276	CDS	537	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
CKJNFLKG_00277	CDS	1554	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
CKJNFLKG_00278	CDS	1335	gdh_2	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
CKJNFLKG_00279	CDS	2094	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
CKJNFLKG_00280	CDS	1839				hypothetical protein
CKJNFLKG_00281	CDS	672	cysE	2.3.1.30	COG1045	Serine acetyltransferase
CKJNFLKG_00282	CDS	1407	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
CKJNFLKG_00283	CDS	450	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
CKJNFLKG_00284	CDS	750		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
CKJNFLKG_00285	CDS	585	sigH		COG1595	RNA polymerase sigma-H factor
CKJNFLKG_00286	CDS	1764				hypothetical protein
CKJNFLKG_00287	CDS	1431	rhaR_3			HTH-type transcriptional activator RhaR
CKJNFLKG_00288	CDS	1614				hypothetical protein
CKJNFLKG_00289	CDS	924	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
CKJNFLKG_00290	CDS	918	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
CKJNFLKG_00291	CDS	1995				hypothetical protein
CKJNFLKG_00292	CDS	1314				hypothetical protein
CKJNFLKG_00293	CDS	975	hprA	1.1.1.29	COG1052	Glycerate dehydrogenase
CKJNFLKG_00294	CDS	153				hypothetical protein
CKJNFLKG_00295	tRNA	73				tRNA-Thr(ggt)
CKJNFLKG_00296	CDS	1347	xerC_1			Tyrosine recombinase XerC
CKJNFLKG_00297	CDS	606				hypothetical protein
CKJNFLKG_00298	CDS	432				hypothetical protein
CKJNFLKG_00299	CDS	582				hypothetical protein
CKJNFLKG_00300	CDS	222				hypothetical protein
CKJNFLKG_00301	CDS	840				hypothetical protein
CKJNFLKG_00302	CDS	924				hypothetical protein
CKJNFLKG_00303	CDS	351				hypothetical protein
CKJNFLKG_00304	CDS	852				hypothetical protein
CKJNFLKG_00305	CDS	1128				hypothetical protein
CKJNFLKG_00306	CDS	231				hypothetical protein
CKJNFLKG_00307	CDS	132				hypothetical protein
CKJNFLKG_00308	CDS	549				hypothetical protein
CKJNFLKG_00309	CDS	111				hypothetical protein
CKJNFLKG_00310	CDS	153				hypothetical protein
CKJNFLKG_00311	CDS	366				hypothetical protein
CKJNFLKG_00312	CDS	2508				hypothetical protein
CKJNFLKG_00313	CDS	252				hypothetical protein
CKJNFLKG_00314	CDS	420				hypothetical protein
CKJNFLKG_00315	tRNA	84				tRNA-Pro(agg)
CKJNFLKG_00316	CDS	282				hypothetical protein
CKJNFLKG_00317	CDS	324				hypothetical protein
CKJNFLKG_00318	CDS	387				hypothetical protein
CKJNFLKG_00319	CDS	1692				hypothetical protein
CKJNFLKG_00320	CDS	198				hypothetical protein
CKJNFLKG_00321	CDS	1257				hypothetical protein
CKJNFLKG_00322	CDS	687	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
CKJNFLKG_00323	CDS	1272				hypothetical protein
CKJNFLKG_00324	CDS	306				hypothetical protein
CKJNFLKG_00325	CDS	309				hypothetical protein
CKJNFLKG_00326	CDS	468				hypothetical protein
CKJNFLKG_00327	CDS	342				hypothetical protein
CKJNFLKG_00328	CDS	549				hypothetical protein
CKJNFLKG_00329	CDS	444				hypothetical protein
CKJNFLKG_00330	CDS	183				hypothetical protein
CKJNFLKG_00331	CDS	4107	smc_1			Chromosome partition protein Smc
CKJNFLKG_00332	CDS	642				hypothetical protein
CKJNFLKG_00333	CDS	3414				hypothetical protein
CKJNFLKG_00334	CDS	300				hypothetical protein
CKJNFLKG_00335	CDS	2460				hypothetical protein
CKJNFLKG_00336	CDS	240				hypothetical protein
CKJNFLKG_00337	CDS	228				hypothetical protein
CKJNFLKG_00338	CDS	261				hypothetical protein
CKJNFLKG_00339	CDS	303				hypothetical protein
CKJNFLKG_00340	CDS	1017				hypothetical protein
CKJNFLKG_00341	CDS	342				hypothetical protein
CKJNFLKG_00342	CDS	123				hypothetical protein
CKJNFLKG_00343	CDS	702	nanR_1		COG2186	HTH-type transcriptional repressor NanR
CKJNFLKG_00344	CDS	729	lutR		COG2186	HTH-type transcriptional regulator LutR
CKJNFLKG_00345	CDS	1080			COG1638	Solute-binding protein
CKJNFLKG_00346	CDS	513	uehB_1		COG3090	Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB
CKJNFLKG_00347	CDS	1284	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
CKJNFLKG_00348	CDS	822	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
CKJNFLKG_00349	CDS	933	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
CKJNFLKG_00350	CDS	864	apnO	1.1.1.-		D-apionate oxidoisomerase
CKJNFLKG_00351	CDS	966	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
CKJNFLKG_00352	CDS	948	arcC1_1	2.7.2.2		Carbamate kinase 1
CKJNFLKG_00353	CDS	1194	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
CKJNFLKG_00354	CDS	1260	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
CKJNFLKG_00355	CDS	1209	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
CKJNFLKG_00356	CDS	657				hypothetical protein
CKJNFLKG_00357	CDS	237				hypothetical protein
CKJNFLKG_00358	CDS	2571				hypothetical protein
CKJNFLKG_00359	CDS	1380		3.5.2.-		D-hydantoinase
CKJNFLKG_00360	CDS	615				hypothetical protein
CKJNFLKG_00361	CDS	816				hypothetical protein
CKJNFLKG_00362	CDS	1380	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
CKJNFLKG_00363	CDS	312				hypothetical protein
CKJNFLKG_00364	CDS	873				hypothetical protein
CKJNFLKG_00365	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
CKJNFLKG_00366	CDS	1335	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
CKJNFLKG_00367	CDS	681	arlR_1		COG0745	Response regulator ArlR
CKJNFLKG_00368	CDS	2289				hypothetical protein
CKJNFLKG_00369	CDS	870	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
CKJNFLKG_00370	CDS	837	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
CKJNFLKG_00371	CDS	1683				hypothetical protein
CKJNFLKG_00372	CDS	1179				hypothetical protein
CKJNFLKG_00373	CDS	1503				hypothetical protein
CKJNFLKG_00374	CDS	663				hypothetical protein
CKJNFLKG_00375	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
